Final_Name,Name_sul07,z,z_src,r_z_sul07,CIV_blue_tvm,CIV_EW_tvm,CIVgood_tvm,CIV_blue_sul07,CIV_EW_sul07,F1450_spec (erg/s/cm2/A),S2N_1450A,Inst_final,log M_BH,+err(log M_BH),-err(log M_BH),MBH_source,logEddRatio,EddRatio_Source,SDSS_NAME,PLATE,MJD,FIBERID,IAU_sul07,Hbeta_FWHM_sul07,RFeII_sul07,_RA,_DE
3C254,3C 254,0.7367,Sul,SDSS,-147.881870046715,163.953828340906,1,-166.0,182.14285714285708,6.29974148256863E-16,17.756271857136,FOS,,,,,,,111438.71+403720.3,1439.0,53003.0,114.0,J11146+4037,6866,0.2,168.661308333333,40.6223025
NGC3227,NGC 3227,0.0039,Sul,O03,197.485608074964,157.52774534972,0,195.0,149.99999999999997,4.42271566736112E-16,3.38286060002324,STIS,6.6844060194741,0.081374656999242,0.10188282008254,Bentz & Katz 2015,-4.42042595704141,Spectra 1450A,,,,,J10235+1951,4605,0.01,155.877375,19.8650833333333
UGC12163,UGC 12163,0.0245,Sul,M03,335.512559052064,10.1439618191863,1,61.0,21.551724137931036,6.7224492390847205E-15,10.4925286612286,STIS,6.4,0.0,0.0,Giustini & Proga 2019 (Ark 564),0.0413926851582251,Giustini & Proga 2019,,,,,J22426+2943,1300,0.87,340.6637875,29.7254305555556
J21315-1207,[HB89] 2128-123,0.4996,Sul,M03,-355.280481193698,78.0837355072204,1,-524.0,104.3824701195219,5.62106072561036E-15,19.4889722761882,FOS,,,,,,,,,,,J21315-1207,6468,0.01,322.896923888889,-12.1179988888889
J14297+4747,[HB89] 1427+480,0.2199,Sul,M03,-286.141157033345,45.3827131083012,1,-426.0,75.70093457943923,5.630007686955071E-15,25.1574792271759,FOS,,,,,,,142943.07+474726.2,8434.0,57484.0,311.0,J14297+4747,2782,0.26,217.429455555556,47.7906047222222
J13590-4152,[HB89] 1355-416,0.3145,Sul,T93,-78.7812685546023,35.4204245835607,1,1069.0,73.63896848137536,8.5032665068507E-15,12.8138101102373,FOS,,,,,,,,,,,J13590-4152,8978,0.1,209.750789444444,-41.8813255555556
PG1216+069,PG 1216+069,0.3322,Sul,M03,266.508764230596,53.725309112622,1,-279.0,94.41340782122903,8.60817456649007E-15,14.5474393668987,FOS,,,,,,,,,,,J12193+0638,7072,0.17,184.837216666667,6.64402111111111
3C345,3C 345,0.5931,Sul,M03,-9.68066706248958,167.547327137303,1,-250.0,107.27272727272727,3.34286039517219E-16,2.94770339487898,FOS,,,,,,,164258.80+394837.0,6038.0,56090.0,144.0,J16429+3948,4498,0.3,250.745041388889,39.8102761111111
J13122+3515,FBQS J131217.7+351521,0.1821,Sul,M03,-217.001832872948,39.2744534465449,1,358.0,68.74999999999999,5.917948727866261E-15,4.5145468200832,STIS,,,,,,,131217.75+351521.0,2016.0,53799.0,61.0,J13122+3515,4186,0.19,198.073958333333,35.2558611111111
PG0026+129,PG 0026+129,0.1451,Sul,M03,266.508764230596,27.2816773919069,1,501.0,30.141843971631207,1.16651147387527E-14,10.536237967863,FOS,8.487,0.096,-0.119,Bentz & Katz 2015,-1.63482206743188,Spectra 1450A,,,,,J00292+1316,2405,0.28,7.30709166666667,13.2677458333333
J05198-4546,PICTOR A,0.035,Sul,EH04,-9.68066706248958,230.776270806625,1,1111.0,177.77777777777777,1.6765477266136302E-15,4.66057115517464,FOS,,,,,,,,,,,J05198-4546,18400,0.01,79.9572291666667,-45.7788055555556
J04055-1308,[HB89] 0403-132,0.5705,Sul,M03,-701.286883341517,89.0128403391668,1,-560.0,63.07692307692306,1.16920530487701E-15,21.1071382885753,FOS,,,,,,,,,,,J04055-1308,4440,0.07,61.3916991666667,-13.1371569444444
PG1352+183,PG 1352+183,0.1508,Sul,M03,335.512559052064,61.2083644885568,1,372.0,80.31496062992125,8.21435053789935E-15,8.36984088894412,FOS,,,,,,,135435.68+180517.4,2756.0,54508.0,228.0,J13545+1805,4947,0.44,208.648704166667,18.0881888888889
PG0953+414,PG 0953+414,0.2347,Sul,M03,266.508764230596,55.4402947873033,1,286.0,64.01673640167364,1.3218250044419E-14,12.811259292097,FOS,8.3333438617531,0.082362180630703,0.10752209695982,Bentz & Katz 2015,-0.969120117297685,Spectra 1450A,,,,,J09568+4115,3413,0.22,149.218298333333,41.2561597222222
